namespace,cbb_items
AT#areaKndDescCntnt,Area Kind Description Content
AT#areaNbrAddr,Area Number Address
AT#areaSeqNbr,Area Sequence Number
AT#areaTpCntnt,Area Type Content
AT#arrActvtyBizCd,Arrangement Activity Business Code
AT#arrActvtyBizCdNbr,Arrangement Activity Business Code Number
AT#arrActvtyCdNbr,Arrangement Activity Code Number
AT#arrActvtyEndDt,Arrangement Activity End Date
AT#arrActvtySeqNbr,Arrangement Activity Sequence Number
AT#arrActvtyStartDt,Arrangement Activity Start Date
AT#arrActvtyStsCd,Arrangement Activity Status Code
AT#arrActvtyStsChngDt,Arrangement Activity Status Change Date
AT#arrActvtyStsChngRsnCd,Arrangement Activity Status Change Reason Code
AT#arrActvtyStsDt,Arrangement Activity Status Date
AT#arrActvtyStsEndDt,Arrangement Activity Status End Date
AT#arrActvtyStsStartDt,Arrangement Activity Status Start Date
AT#arrActvtyTpCd,Arrangement Activity Type Code
AT#arrAdtnlAtrbtChngSeqNbr,Arrangement Additional Attribute Change Sequence Number
AT#arrAdtnlAtrbtMgmtYn,Arrangement Additional Attribute Management Yn
AT#arrAdtnlAtrbtSeqNbr,Arrangement Additional Attribute Sequence Number
AT#arrAdtnlAtrbtStsCd,Arrangement Additional Attribute Status Code
AT#arrAdtnlAtrbtStsSeqNbr,Arrangement Additional Attribute Status Sequence Number
AT#arrAgrmntChnlDscd,Arrangement Agreement Channel Distinctioncode
AT#arrAgrmntChnlNm,Arrangement Agreement Channel Name
AT#arrAgrmntDt,Arrangement Agreement Date
AT#arrAmt,Arrangement Amount
AT#arrAplctnId,Arrangement Application Id
AT#arrArrRelCd,Arrangement Arrangement Relation Code
AT#arrArrRelSeqNbr,Arrangement Arrangement Relation Sequence Number
AT#arrArrRelStsCd,Arrangement Arrangement Relation Status Code
AT#arrArrRelStsChngRsnCd,Arrangement Arrangement Relation Status Change Reason Code
AT#arrAssetRelCd,Arrangement Asset Relation Code
AT#arrAssetRelSeqNbr,Arrangement Asset Relation Sequence Number
AT#arrAssetRelStsCd,Arrangement Asset Relation Status Code
AT#arrAssetRelStsChngRsnCd,Arrangement Asset Relation Status Change Reason Code
AT#arrAtrbtValAdtnlKeyCntnt,Arrangement Attribute Value Additional Key Content
AT#arrAtrbtValAdtnlKeyVal,Arrangement Attribute Value Additional Key Value
AT#arrAtrbtValOriginTpCd,Arrangement Attribute Value Origin Type Code
AT#arrAtrbtValSeqNbr,Arrangement Attribute Value Sequence Number
AT#arrAvlblAmt,Arrangement Available Amount
AT#arrBal,Arrangement Balance
AT#arrBalAmtInqryYn,Arrangement Balance Amount Inquery Yes Or No
AT#arrBaseAcctgItmCd,Arrangement Base Accounting Item Code
AT#arrBnftRelSeqNbr,Arrangement Benefit Relation Sequence Number
AT#arrBnftRelStsCd,Arrangement Benefit Relation Status Code
AT#arrBnftRelStsChngRsnCd,Arrangement Benefit Relation Status Change Reason Code
AT#arrBnftRelStsRsnCd,Arrangement Benefit Relation Status Reason Code
AT#arrBrnchRelCd,Arrangement Branch Relation Code
AT#arrBrnchRelSeqNbr,Arrangement Branch Relation Sequence Number
AT#arrBrnchRelStsCd,Arrangement Branch Relation Status Code
AT#arrBrnchRelStsChngRsnCd,Arrangement Branch Relation Status Change Reason Code
AT#arrChngAblDeptRelCd,Arrangement Change Able Department Relation Code
AT#arrCltrlRgstrnStsCd,Arrangement Collateral Registration Status Code
AT#arrCnclDscd,Arrangement Cancel Distinctioncode
AT#arrCndCd,Arrangement Condition Code
AT#arrCndChngSrvcTpCd,Arrangement Condition Change Service Type Code
AT#arrCndEndVal,Arrangement Condition End Value
AT#arrCndStartVal,Arrangement Condition Start Value
AT#arrCndStsCd,Arrangement Condition Status Code
AT#arrCndStsChngRsnCd,Arrangement Condition Status Change Reason Code
AT#arrCndTpCd,Arrangement Condition Type Code
AT#arrCndVal,Arrangement Condition Value
AT#arrCndValCntnt,Arrangement Condition Value Content
AT#arrCrtnDt,Arrangement Creation Date
AT#arrCustRelCd,Arrangement Customer Relation Code
AT#arrCustRelNm,Arrangement Customer Relation Name
AT#arrCustRelSeqNbr,Arrangement Customer Relation Sequence Number
AT#arrCustRelStsCd,Arrangement Customer Relation Status Code
AT#arrCustRelStsChngRsnCd,Arrangement Customer Relation Status Change Reason Code
AT#arrCustRltdPersonRelCd,Arrangement Customer Related Person Relation Code
AT#arrCustRltdPersonRelStsCd,Arrangement Customer Related Person Relation Status Code
AT#arrDayCnt,Arrangement Day Number
AT#arrDeptRelCd,Arrangement Department Relation Code
AT#arrDeptRelSeqNbr,Arrangement Department Relation Sequence Number
AT#arrDeptRelStsCd,Arrangement Department Relation Status Code
AT#arrDeptRelStsChngRsnCd,Arrangement Department Relation Status Change Reason Code
AT#arrDocRelCd,Arrangement Document Relation Code
AT#arrDocRelSeqNbr,Arrangement Document Relation Sequence Number
AT#arrDocRelStsCd,Arrangement Document Relation Status Code
AT#arrDocRelStsChngRsnCd,Arrangement Document Relation Status Change Reason Code
AT#arrDocStrctrQryYn,Arrangement Document Structure Query Yn
AT#arrDocTrgtDscd,Arrangement Document Target Distinction Code
AT#arrDscd,Arrangement Distinctioncode
AT#arrDscrdDt,Arrangement Discard Date
AT#arrDt,Arrangement Date
AT#arrDtlTrmntnDscd,Arrangement Detail Termination DistinctionCode
AT#arrEddSeqNbr,Arrangement Enhanced_due_diligence Sequence Number
AT#arrEmplRelCd,Arrangement Employee Relation Code
AT#arrEmplRelSeqNbr,Arrangement Employee Relation Sequence Number
AT#arrEmplRelStsCd,Arrangement Employee Relation Status Code
AT#arrEmplRelStsChngRsnCd,Arrangement Employee Relation Status Change Reason Code
AT#arrEtcInfoCntnt,arrangement etc informaiton content
AT#arrEtcInfoDsNm,arrangement etc information distinction name
AT#arrExtrnlIdNbr,Arrangement External Identification Number
AT#arrExtrnlIdNbrSeqNbr,Arrangement External Identification Number Sequence Number
AT#arrExtrnlIdNbrStsCd,Arrangement External Identification Number Status Code
AT#arrExtrnlIdNbrStsRsnCd,Arrangement External Identification Number Status Reason Code
AT#arrExtrnlIdNbrStsSeqNbr,Arrangement External Identification Number Status Sequence Number
AT#arrExtrnlIdNbrTpCd,Arrangement External Identification Number Type Code
AT#arrFinYn,Arrangement Finish Yn
AT#arrGrpArrRelSeqNbr,Arrangement Group Arrangement Relation Sequence Number
AT#arrGrpArrRelStsCd,Arrangement Group Arrangement Relation Status Code
AT#arrGrpArrRelStsChngRsnCd,Arrangement Group Arrangement Relation Status Change Reason Code
AT#arrGrpArrRelStsRsnCd,Arrangement Group Arrangement Relation Status Reason Code
AT#arrGrpAtrbtNm,Arrangement Group Attribute Name
AT#arrGrpAtrbtSeqNbr,Arrangement Group Attribute Sequence Number
AT#arrGrpAtrbtStsCd,Arrangement Group Attribute Status Code
AT#arrGrpAtrbtStsSeqNbr,Arrangement Group Attribute Status Sequence Number
AT#arrGrpAtrbtValJson,Arrangement Group Attribute Value Json
AT#arrGrpDescCntnt,Arrangement Group Description Content
AT#arrGrpId,Arrangement Group Identification
AT#arrGrpNm,Arrangement Group Name
AT#arrGrpRelStsChngRsnCd,Arrangement Group Relation Status Change Reason Code
AT#arrGrpStsCd,Arrangement Group Status Code
AT#arrGrpStsChngDt,Arrangement Group Status Change Date
AT#arrGrpStsChngRsnCd,Arrangement Group Status Change Reason Code
AT#arrGrpStsDt,Arrangement Group Status Date
AT#arrGrpTpCd,Arrangement Group Type Code
AT#arrId,Arrangement ID
AT#arrIdNbr,Arrangement Identification Number
AT#arrIdNbrKndCd,Arrangement Identification Number Kind Code
AT#arrIdNbrSrvcBlckngTpCd,Arrangement Identification Number Service Blocking Type Code
AT#arrIntRtTpCd,Arrangement Interest Rate Type Code
AT#arrIntRtTpNm,Arrangement Interest Rate Type Name
AT#arrIssmdaBlckngBizCd,Arrangement Issued Media Blocking Business Code
AT#arrIssmdaBlckngBizCdNbr,Arrangement Issued Media Blocking Business Code Number
AT#arrIssmdaBlckngCd,Arrangement Issued Media Blocking Code
AT#arrIssmdaBlckngCntnt,Arrangement Issued Media Blocking Content
AT#arrIssmdaBlckngSeqNbr,Arrangement Issued Media Blocking Sequence Number
AT#arrIssmdaBlckngStsCd,Arrangement Issued Media Blocking Status Code
AT#arrIssmdaBlckngStsChngRsnCd,Arrangement Issued Media Blocking Status Change Reason Code
AT#arrIssmdaBlckngStsRsnCd,Arrangement Issued Media Blocking Status Reason Code
AT#arrIssmdaBlckngStsSeqNbr,Arrangement Issued Media Blocking Status Sequence Number
AT#arrIssmdaInhrncId,Arrangement IssueMedia Inherence Identification
AT#arrIssmdaPrflAtrbtDescCntnt,Arrangement Issued Media Profile Attribute Description Content
AT#arrIssmdaPrflAtrbtNm,Arrangement Issued Media Profile Attribute Name
AT#arrIssmdaPrflCntnt,Arrangement Issued Media Profile Content
AT#arrIssmdaPrflDescCntnt,Arrangement Issued Media Profile Description Content
AT#arrIssmdaPrflNm,Arrangement Issued Media Profile Name
AT#arrIssmdaPsbkMsgSeqNbr,Arrangement Issued Media Passbook Message Sequence Number
AT#arrIssmdaRelSeqNbr,Arrangement IssueMedia Relation Sequence Number
AT#arrIssmdaRelStsCd,Arrangement IssueMedia Relation Status Code
AT#arrIssmdaRelStsChngRsnCd,Arrangement IssueMedia Relation Status Change Reason Code
AT#arrIssmdaStsCd,Arrangement Issuemedia Status Code
AT#arrIssmdaStsChngRsnBizCdNbr,Arrangement Issued_media Status Change Reason Business Code Number
AT#arrIssmdaStsChngRsnCd,Arrangement Issuemedia Status Change Reason Code
AT#arrIssmdaStsSeqNbr,Arrangement Issued Media Status Sequence Number
AT#arrIssmdaTmpltId,Arrangement IssueMedia Template Identification
AT#arrIssmdaTmpltNm,Arrangement IssueMedia Template Name
AT#arrIssmdaTpCd,Arrangement Issued Media Type Code
AT#arrKndCd,Arrangement Kind Code
AT#arrLastAgrmntDt,Arrangement Last Agreement Date
AT#arrLastAgrmntHms,Arrangement last agreement time
AT#arrLvlYn,Arrangement Level YN
AT#arrMnthCnt,Arrangement Month Number
AT#arrMtrtyDt,Arrangement Maturity Date
AT#arrMtrtyElpsdYn,Arrangement Maturity Elapsed Yn
AT#arrNoticeFailSndRsnCd,Arrangement Notice Fail Send Reason Code
AT#arrNoticeFailSndSeqNbr,Arrangement Notice Fail Send Sequence Number
AT#arrNoticeFailSndStsCd,Arrangement Notice Fail Send Status Code
AT#arrOpnDt,Arrangement Open Date
AT#arrOpnHms,Arrangement Open Hhmmss
AT#arrPdRelCd,Arrangement Product Relation Code
AT#arrPdRelSeqNbr,Arrangement Product Relation Sequence Number
AT#arrPdRelStsCd,Arrangement Product Relation Status Code
AT#arrPdRelStsChngRsnCd,Arrangement Product Relation Status Change Reason Code
AT#arrPdRuleCntnt,Arrangement Product Rule Content
AT#arrPdRuleNm,arrangement product rule name
AT#arrPdRuleTpCd,Arrangement Product Rule Type Code
AT#arrPlnExctnBaseDay,Arrangement Plan Execution Base Day
AT#arrPlnExctnBaseDayDscd,Arrangement Plan Execution Base Day Distinction Code
AT#arrPlnExctnInfoCntnt,Arrangement Plan Execution Information Content
AT#arrPlnSrvcTpCd,Arrangement Plan Service Type Code
AT#arrPlnStsCd,Arrangement Plan Status Code
AT#arrPlnStsChngRsnCd,Arrangement Plan Status Change Reason Code
AT#arrPrprtnAdtnStsCd,Arrangement Preparation Addition Status Code
AT#arrPrprtnStepAdtnStsCd,Arrangement Preparation Step Addition Status Code
AT#arrPrprtnStepStsCd,Arrangement Preparation Step Status Code
AT#arrPrtnrRelCd,Arrangement Partner Relation Code
AT#arrPrtnrRelSeqNbr,Arrangement Partner Relation Sequence Number
AT#arrPrtnrRelStsCd,Arrangement Partner Relation Status Code
AT#arrPrtnrRelStsChngRsnCd,Arrangement Partner Relation Status Change Reason Code
AT#arrPsbkBkgSeqNbr,Arrangement Passbook Booking Sequence Number
AT#arrPsbkEventSeqNbr,Arrangement Passbook Event Sequence Number
AT#arrRelCd,Arrangement Relation Code
AT#arrRelKndCd,Arrangement Relationship Kind Code
AT#arrRelKndNm,Arrangement Relation Kind Name
AT#arrRelNm,Arrangement Relationship Name
AT#arrRelSeqNbr,Arrangement Relation Sequence Number
AT#arrRelStartDt,Arrangement Relation Start Date
AT#arrRelStsCd,Arrangement Relation Status Code
AT#arrRelStsChngRsnCd,Arrangement Relation Status Change Reason Code
AT#arrResrcRelCd,Arrangement Resource Relation Code
AT#arrResrcRelStsCd,Arrangement Resource Relation Status Code
AT#arrResrcRelStsChngRsnCd,Arrangement Resource Relation Status Change Reason Code
AT#arrRprsnRelCd,Arrangement Related_person Relation Code
AT#arrRprsnRelSeqNbr,Arrangement Related_person Relation Sequence Number
AT#arrRprsnRelStsCd,Arrangement Related_person Relation Status Code
AT#arrRprsnRelStsChngRsnCd,Arrangement Related_person Relation Status Change Reason Code
AT#arrSrchDscd,Arrangement Search DistinctionCode
AT#arrSrvcBlckngAmt,Arrangement Service Blocking Amount
AT#arrSrvcBlckngAmtCrncyCd,Arrangement Service Blocking Amount Currency Code
AT#arrSrvcBlckngCaseNbr,Arrangement Service Blocking Case Number
AT#arrSrvcBlckngCd,Arrangement Service Blocking Code
AT#arrSrvcBlckngCdNm,Arrangement Service Blocking Code Name
AT#arrSrvcBlckngCntnt,
AT#arrSrvcBlckngIncrsAmt,Arrangement Service Blocking Increase Amount
AT#arrSrvcBlckngJrsdctnCmplntNm,Arrangement Service Blocking Jurisdiction Complaint Name
AT#arrSrvcBlckngRdctnAmt,Arrangement Service Blocking Reduction Amount
AT#arrSrvcBlckngRqerDscd,Arrangement Service Blocking Rquester Distinction Code
AT#arrSrvcBlckngRqerDtlCntnt,Arrangement Service Blocking Requester Detail Content
AT#arrSrvcBlckngRqerNm,Arrangement Service Blocking Requester Name
AT#arrSrvcBlckngRqerTelNbr,Arrangement Service Blocking Requester Telephone Number
AT#arrSrvcBlckngSeqNbr,Arrangement Service Blocking Sequence Number
AT#arrSrvcBlckngStsCd,Arrangement Service Blocking Status Code
AT#arrSrvcBlckngStsCdNm,Arrangement Service Blocking Status Code Name
AT#arrSrvcBlckngStsChngBizCd,Arrangement Service Blocking Status Change Business Code
AT#arrSrvcBlckngStsChngBizCdNbr,Arrangement Service Blocking Status Change Business Code Number
AT#arrSrvcBlckngStsChngRsnCd,Arrangement Service Blocking Status Change Reason Code
AT#arrSrvcBlckngStsRsnCd,Arrangement Service Blocking Status Reason Code
AT#arrSrvcBlckngTrgtNcsrTrgtCntnt,Arrangement Service Blocking Target Necessary Target Content
AT#arrSrvcBlckngTrgtNcsrYn,Arrangement Service Blocking Target Necessary Yn
AT#arrSrvcCd,Arrangement Service Code
AT#arrSrvcCmpntCd,Arrangement Service Component Code
AT#arrSrvcTpCd,Arrangement Service Type Code
AT#arrSrvcTpNm,Arrangement Service Type Name
AT#arrStaffRelCd,Arrangement Staff Relation Code
AT#arrStaffRelSeqNbr,Arrangement Staff Relation Sequence Number
AT#arrStaffRelStsCd,Arrangement Staff Relation Status Code
AT#arrStaffRelStsChngRsnCd,Arrangement Staff Relation Status Change Reason Code
AT#arrStrctrQryCd,Arrangement Structure Query Code
AT#arrStsCd,arrangement status code
AT#arrStsCdNm,Arrangement Status Code Name
AT#arrStsChngDt,Arrangement Status Change Date
AT#arrStsChngRsnBizCd,Arrangement Status Change Reason Business Code
AT#arrStsChngRsnBizCdNbr,Arrangement Status Change Reason Business Code Number
AT#arrStsChngRsnCd,status change reason
AT#arrStsChngRsnRmkCntnt,Arrangement Status Change Reason Remark Content
AT#arrStsDt,Status Date
AT#arrStsHms,Arrangement Status Hhmmss
AT#arrStsNm,Arrangement Status Name
AT#arrTrmCnt,Arrangement Term Count
AT#arrTrmDscd,Arrangement Term Distinction Code
AT#arrTrmMnthCnt,Arrangement Term Month Count
AT#arrTrmntnDscd,Arrangement Termination DistinctionCode
AT#arrTrmntnDt,Termination Date
AT#arrTrmntnDtlDscd,Arrangement Termination Detail Distinction Code
AT#arrTxRstrctnCd,Arrangement Transaction Restriction Code
AT#arrTxRstrctnCdNm,Arrangement Transaction Restriction Code Name
AT#arrTxRstrctnRqerDscd,Arrangement Transaction Restriction Demander Distinction Code
AT#arrTxRstrctnRqerDscdNm,Arrangement Transaction Restriction Requester Distinction Code Name
AT#arrTxRstrctnRqerDtlCntnt,Arrangement Transaction Restriction Demander Detail Content
AT#arrTxRstrctnStsCd,Arrangement Transaction Restriction Status Code
AT#arrTxRstrctnStsChngRsnCd,Arrangement Transaction Restriction Status Change Reason Code
AT#arrTxSeqNbr,Arrangement Transaction Sequence Number
AT#arrXtnAtrbtValJson,Arrangement Extend Attribute Value JSON
AT#arrearCnt,Arrear Count
AT#arrearsCntnt,Arrears Content
AT#arrearsEndYm,Arrears End Ym
AT#arrearsMnthNth,Arrears Month Nth
AT#arrearsStartYm,Arrears Start Ym
AT#arrearsYn,Arrears Yn
AT#asMainYn,As Main Yn
AT#ascndngSortYn,Ascending Order Sort Yesorno
AT#asctTxDpstWhdrwlDscd,Associate Transaction Deposit Withdrawal Dscd
AT#asctTxPrcsDt,Associate Transaction Process Date
AT#asctTxPrcsHms,Associate Transaction Process Hhmmss
AT#asctTxPrcsngDt,Associate Transaction Processing Date
AT#asctTxPrcsngHm,Associate Transaction Processing Hm
AT#asctTxPrcsngHms,Associate Transaction Processing Hms
AT#asctTxSysCd,Associate Transaction System Code
AT#asctTxTxAmt,Associate Transaction Transaction Amount
AT#asctTxTxUnqNbr,Associate Transaction Transaction Unique Number
AT#asgnCustId,Assignee Customer Identification
AT#asgnCustNm,Assignee Customer Name
AT#asmArrRelStsCd,Assessment Arrangement Relation Status Code
AT#asmArrTxDt,Assessment Arrangement Transaction Date
AT#asmArrTxSeqNbr,Assessment Arrangement Transaction Sequence Number
AT#asmCmntCntnt,Assessment Comment Content
AT#asmCmplncClCd,Assessment Compliance Classification
AT#asmCnsltnStsCd,Assessment Consultation Status Code
AT#asmFndtnKndCd,Assessment Foundation Kind Code
AT#asmId,Assessment Identification
AT#asmItmId,Assessment Item Identification
AT#asmItmNm,Assessment Item Name
AT#asmItmOriginDscd,Assessment Item Origin Distinction Code
AT#asmItmRmkCntnt,Assessment Item Remark Content
AT#asmItmTpCd,Assessment Item Type Code
AT#asmItmVal,Assessment Item Value
AT#asmKndCd,Assessment Kind Code
AT#asmStsCd,Assessment Status Code
AT#assGradeCd,Application Scoring System Grade Code
AT#assScore,Application Scoring System Score
AT#assetAcqstnClCd,Asset Acquisition Classification Code
AT#assetAddrRegionClCd,Asset Address Region Classification Code
AT#assetAddrRegionClCrtrCd,Asset Address Region Classification Criteria Code
AT#assetAddrRegionClCrtrNm,Asset Address Region Classification Criteria Name
AT#assetAddrRegionClNm,Asset Address Region Classification Name
AT#assetAddrTpCd,Asset Address Type Code
AT#assetAlctnPrity,Asset Allocation Priority
AT#assetAndScrtyIntStsCd,Asset And Security Interest Status Code
AT#assetAndScrtyIntTxDscd,Asset And Security Interest Transaction Distinction Code
AT#assetAprslRelStsCd,Asset Appraisal Relation Status Code
AT#assetArrAmt,Asset Arrangement Amount
AT#assetAssetRelCd,Asset Asset Relation Code
AT#assetAssetRelSeqNbr,Asset Asset Relation Sequence Number
AT#assetAssetRelStsCd,Asset Asset Relation Status Code
AT#assetClCd,Asset Classification Code
AT#assetClTpCd,Asset Classification Type Code
AT#assetCustRelCd,Asset Customer Relation Code
AT#assetCustRelSeqNbr,Asset Customer Relation Sequence Number
AT#assetCustRelStsCd,Asset Customer Relation Status Code
AT#assetDeptRelCd,Asset Department Relation Code
AT#assetDeptRelSeqNbr,Asset Department Relation Sequence Number
AT#assetDeptRelStsCd,Asset Department Relation Status Code
AT#assetDocRelCd,Asset Document Relation Code
AT#assetDocRelSeqNbr,Asset Document Relation Sequence Number
AT#assetDocRelStsCd,Asset Document Relation Status Code
AT#assetDstrbtAmt,Asset Distribute Amount
AT#assetDstrbtPrity,Asset Distribute Priority
AT#assetDstrbtTpCd,Asset Distribute Type Code
AT#assetEvltnAmt,Asset Evaluation Amount
AT#assetEvltnDt,assetEvltnDt
AT#assetEvltnMthdCd,Asset Evaluation Method Code
AT#assetEvltnSeqNbr,Asset Evaluation Sequence Number
AT#assetId,Asset Identification
AT#assetInsrncRelSeqNbr,Asset Insurance Relation Sequence Number
AT#assetInsrncRelStsCd,Asset Insurance Relation Status Code
AT#assetKndCd,Asset Kind Code
AT#assetKndNm,Asset Kind Name
AT#assetNm,Asset Name
AT#assetPrtnrRelCd,Asset Partner Relation Code
AT#assetPrtnrRelSeqNbr,Asset Partner Relation Sequence Number
AT#assetPrtnrRelStsCd,Asset Partner Relation Status Code
AT#assetPstnNbr,Asset Position Number
AT#assetRcgntnAmt,Asset Recognition Amount
AT#assetRcgntnRatioExcptnCd,Asset Recognition Ratio Exception Code
